AUTHENTICATE_FAIL,admin,2025-05-21T12:23:25.656467300,Authentication failed
AUTHENTICATE_FAIL,admin,2025-05-21T12:23:28.582118100,Authentication failed
AUTHENTICATE_FAIL,admin,2025-05-21T12:23:31.683349100,Authentication failed
AUTHENTICATE_FAIL,admin,2025-05-21T12:23:31.912782300,Authentication failed
AUTHENTICATE_FAIL,admin,2025-05-21T12:23:32.075486300,Authentication failed
AUTHENTICATE_FAIL,admin,2025-05-21T12:23:32.187293300,Authentication failed
AUTHENTICATE,admin,2025-05-21T12:23:49.818287900,User authenticated
AUTHENTICATE,admin,2025-05-21T12:24:13.240980200,User authenticated
AUTHENTICATE,admin,2025-05-21T12:24:14.492708500,User authenticated
ADD_CANDIDATE,3,2025-05-21T12:24:31.088623,Candidate added
REGISTER_VOTER,a,2025-05-21T12:24:52.958064300,Voter registered
AUTHENTICATE,a,2025-05-21T12:24:54.150561800,User authenticated
VOTE,a,2025-05-21T12:25:01.761435900,Voted for 1
